Year,Week,Day,Date,Holiday,Kickoff,Type,Time,Hour,AwayPrime,After7,MLBReg,MLBPlay,NHLReg,NHLPlay,NBAReg,NBAPlay,NFL,Away,Home,PctMarket,Away2,Home2,Away3,Home3,AwayPop,HomePop,Market,Round,TV,Rating,Viewers,,
2009,2,Sun,9/20/09,0,0,SNF,,8.5,0,1,1,0,1,0,0,0,0,NYG,DAL,,,,,,23484225,7206144,30690369,RS,NBC,15.1,24817000,,
2009,2,Mon,9/21/09,0,0,MNF,,8.5,0,1,1,0,0,0,1,0,0,IND,MIA,,,,,,2336237,6447610,8783847,RS,ESPN,9.4,14710000,,
2009,3,Sun,9/27/09,0,0,Single,,1,7.5,0,1,0,0,0,1,0,1,ATL,NE,,,,,,6162195,8041303,14203498,RS,FOX,11.9,19330000,,
2009,3,Sun,9/27/09,0,0,Regional,,1,7.5,0,1,0,0,0,1,0,1,TEN,NYJ,,,,,,1876933,23484225,25361158,RS,CBS,6.8,11077000,,
2009,3,Sun,9/27/09,0,0,National,,4,4.5,0,1,0,0,0,1,0,1,PIT,CIN,,,,,,2360867,2137406,4498273,RS,CBS,10.9,18150000,,
2009,3,Sun,9/27/09,0,0,SNF,,8.5,0,1,1,0,1,0,1,0,0,IND,ARI,,,,,,2336237,4398762,6734999,RS,NBC,10.7,17469000,,
2009,3,Mon,9/28/09,0,0,MNF,,8.5,0,1,1,0,1,0,1,0,0,CAR,DAL,,,,,,2493040,7206144,9699184,RS,ESPN,9.9,15705000,,
2009,4,Sun,10/4/09,0,0,Single,,1,7.5,0,1,0,1,0,1,0,1,BAL,NE,,,,,,2770738,8041303,10812041,RS,CBS,10.1,16558000,,
2009,4,Sun,10/4/09,0,0,Regional,,1,7.5,0,1,0,1,0,1,0,1,NYG,KC,,,,,,23484225,2054473,25538698,RS,FOX,7.7,11813000,,
2009,4,Sun,10/4/09,0,0,National,,4,4.5,0,1,0,1,0,1,0,1,DAL,DEN,,,,,,7206144,3277309,10483453,RS,FOX,13.1,22026000,,
